timestamp,open,high,low,close,volume
2019-01-25 16:00:00,106.9100,107.1700,106.8800,107.1700,2130086
2019-01-25 15:55:00,107.0000,107.0300,106.8700,106.9000,451476
2019-01-25 15:50:00,107.0100,107.0800,106.9200,107.0050,594035
2019-01-25 15:45:00,107.0400,107.1400,106.9500,107.0000,535969
2019-01-25 15:40:00,106.8900,107.0700,106.8400,107.0400,433288
2019-01-25 15:35:00,107.0150,107.0200,106.8050,106.9000,525010
2019-01-25 15:30:00,107.0400,107.0700,106.9600,107.0050,204920
2019-01-25 15:25:00,107.1050,107.1050,107.0100,107.0300,143036
2019-01-25 15:20:00,107.0100,107.1100,107.0100,107.0950,223936
2019-01-25 15:15:00,107.0000,107.0600,106.9300,107.0042,243771
2019-01-25 15:10:00,107.0500,107.0600,106.9300,106.9900,240543
2019-01-25 15:05:00,107.0150,107.0750,106.9700,107.0500,183243
2019-01-25 15:00:00,107.0400,107.1100,106.9500,107.0300,285628
2019-01-25 14:55:00,106.9500,107.0750,106.9237,107.0450,181748
2019-01-25 14:50:00,107.0800,107.0800,106.9400,106.9500,228319
2019-01-25 14:45:00,106.9900,107.1200,106.9900,107.0700,153257
2019-01-25 14:40:00,106.9300,107.0000,106.8800,106.9800,171030
2019-01-25 14:35:00,106.9400,107.0200,106.8600,106.9400,216046
2019-01-25 14:30:00,107.0800,107.0900,106.8700,106.9300,288624
2019-01-25 14:25:00,107.1850,107.2050,106.9900,107.0700,349583
2019-01-25 14:20:00,107.2478,107.3150,107.1200,107.1950,309229
2019-01-25 14:15:00,107.3100,107.3100,107.1850,107.2450,173920
2019-01-25 14:10:00,107.2800,107.3300,107.2600,107.3200,267293
2019-01-25 14:05:00,107.2535,107.2800,107.2000,107.2800,136862
2019-01-25 14:00:00,107.2600,107.2900,107.2200,107.2500,161739
2019-01-25 13:55:00,107.3050,107.3200,107.2335,107.2600,181971
2019-01-25 13:50:00,107.2700,107.3200,107.2550,107.3100,120936
2019-01-25 13:45:00,107.2600,107.3100,107.2300,107.2600,133769
2019-01-25 13:40:00,107.2300,107.3000,107.1700,107.2550,183548
2019-01-25 13:35:00,107.2700,107.2800,107.1905,107.2300,171739
2019-01-25 13:30:00,107.3050,107.3900,107.2700,107.2702,192932
2019-01-25 13:25:00,107.1750,107.3500,107.1700,107.3100,201223
